team_name,player_name,position,status,match_date,opponent,match_id,competition,shirt_number,source
FC Augsburg,Sandro Wagner,,Coach,2026-02-15,1. FC Heidenheim 1846,617346,Bundesliga,,APIFootball
FC Augsburg,Finn Dahmen,1,Starting XI,2026-02-15,1. FC Heidenheim 1846,617346,Bundesliga,1,APIFootball
FC Augsburg,Noahkai Banks,2,Starting XI,2026-02-15,1. FC Heidenheim 1846,617346,Bundesliga,40,APIFootball
FC Augsburg,Keven Schlotterbeck,3,Starting XI,2026-02-15,1. FC Heidenheim 1846,617346,Bundesliga,31,APIFootball
FC Augsburg,Cedric Zesiger,4,Starting XI,2026-02-15,1. FC Heidenheim 1846,617346,Bundesliga,16,APIFootball
FC Augsburg,Anton Kade,5,Starting XI,2026-02-15,1. FC Heidenheim 1846,617346,Bundesliga,30,APIFootball
FC Augsburg,Kristijan Jakić,6,Starting XI,2026-02-15,1. FC Heidenheim 1846,617346,Bundesliga,17,APIFootball
FC Augsburg,Han-Noah Massengo,7,Starting XI,2026-02-15,1. FC Heidenheim 1846,617346,Bundesliga,4,APIFootball
FC Augsburg,Robin Fellhauer,8,Starting XI,2026-02-15,1. FC Heidenheim 1846,617346,Bundesliga,19,APIFootball
FC Augsburg,Mert Kömür,9,Starting XI,2026-02-15,1. FC Heidenheim 1846,617346,Bundesliga,36,APIFootball
FC Augsburg,Alexis Claude-Maurice,10,Starting XI,2026-02-15,1. FC Heidenheim 1846,617346,Bundesliga,20,APIFootball
FC Augsburg,Michael Gregoritsch,11,Starting XI,2026-02-15,1. FC Heidenheim 1846,617346,Bundesliga,38,APIFootball
FC Augsburg,Marius Wolf,0,Substitute,2026-02-15,1. FC Heidenheim 1846,617346,Bundesliga,27,APIFootball
FC Augsburg,Rodrigo Ribeiro,0,Substitute,2026-02-15,1. FC Heidenheim 1846,617346,Bundesliga,21,APIFootball
FC Augsburg,Dimitrios Giannoulis,0,Substitute,2026-02-15,1. FC Heidenheim 1846,617346,Bundesliga,13,APIFootball
FC Augsburg,Elvis Rexhbeçaj,0,Substitute,2026-02-15,1. FC Heidenheim 1846,617346,Bundesliga,8,APIFootball
FC Augsburg,Fabian Rieder,0,Substitute,2026-02-15,1. FC Heidenheim 1846,617346,Bundesliga,32,APIFootball
FC Augsburg,Nediljko Labrović,0,Substitute,2026-02-15,1. FC Heidenheim 1846,617346,Bundesliga,22,APIFootball
FC Augsburg,Arthur Chaves,0,Substitute,2026-02-15,1. FC Heidenheim 1846,617346,Bundesliga,34,APIFootball
FC Augsburg,Yannik Keitel,0,Substitute,2026-02-15,1. FC Heidenheim 1846,617346,Bundesliga,14,APIFootball
FC Augsburg,Ismael Gharbi,0,Substitute,2026-02-15,1. FC Heidenheim 1846,617346,Bundesliga,11,APIFootball
FC Bayern München,Vincent Kompany,,Coach,2026-02-14,SV Werder Bremen,617351,Bundesliga,,APIFootball
FC Bayern München,Manuel Neuer,1,Starting XI,2026-02-14,SV Werder Bremen,617351,Bundesliga,1,APIFootball
FC Bayern München,Josip Stanišić,2,Starting XI,2026-02-14,SV Werder Bremen,617351,Bundesliga,44,APIFootball
FC Bayern München,Jonathan Tah,3,Starting XI,2026-02-14,SV Werder Bremen,617351,Bundesliga,4,APIFootball
FC Bayern München,Min-jae Kim,4,Starting XI,2026-02-14,SV Werder Bremen,617351,Bundesliga,3,APIFootball
FC Bayern München,Konrad Laimer,5,Starting XI,2026-02-14,SV Werder Bremen,617351,Bundesliga,27,APIFootball
FC Bayern München,Joshua Kimmich,6,Starting XI,2026-02-14,SV Werder Bremen,617351,Bundesliga,6,APIFootball
FC Bayern München,Leon Goretzka,7,Starting XI,2026-02-14,SV Werder Bremen,617351,Bundesliga,8,APIFootball
FC Bayern München,Lennart Karl,8,Starting XI,2026-02-14,SV Werder Bremen,617351,Bundesliga,42,APIFootball
FC Bayern München,Serge Gnabry,9,Starting XI,2026-02-14,SV Werder Bremen,617351,Bundesliga,7,APIFootball
FC Bayern München,Luis Díaz,10,Starting XI,2026-02-14,SV Werder Bremen,617351,Bundesliga,14,APIFootball
FC Bayern München,Harry Kane,11,Starting XI,2026-02-14,SV Werder Bremen,617351,Bundesliga,9,APIFootball
FC Bayern München,Jonas Urbig,0,Substitute,2026-02-14,SV Werder Bremen,617351,Bundesliga,40,APIFootball
FC Bayern München,Alphonso Davies,0,Substitute,2026-02-14,SV Werder Bremen,617351,Bundesliga,19,APIFootball
FC Bayern München,Jamal Musiala,0,Substitute,2026-02-14,SV Werder Bremen,617351,Bundesliga,10,APIFootball
FC Bayern München,Tom Bischof,0,Substitute,2026-02-14,SV Werder Bremen,617351,Bundesliga,20,APIFootball
FC Bayern München,Nicolas Jackson,0,Substitute,2026-02-14,SV Werder Bremen,617351,Bundesliga,11,APIFootball
FC Bayern München,Sven Ulreich,0,Substitute,2026-02-14,SV Werder Bremen,617351,Bundesliga,26,APIFootball
FC Bayern München,Dayot Upamecano,0,Substitute,2026-02-14,SV Werder Bremen,617351,Bundesliga,2,APIFootball
FC Bayern München,Hiroki Itō,0,Substitute,2026-02-14,SV Werder Bremen,617351,Bundesliga,21,APIFootball
FC Bayern München,Aleksandar Pavlović,0,Substitute,2026-02-14,SV Werder Bremen,617351,Bundesliga,45,APIFootball
Bayer 04 Leverkusen,Kasper Hjulmand,,Coach,2026-02-14,FC St. Pauli,617349,Bundesliga,,APIFootball
Bayer 04 Leverkusen,Janis Blaswich,1,Starting XI,2026-02-14,FC St. Pauli,617349,Bundesliga,28,APIFootball
Bayer 04 Leverkusen,Jarell Quansah,2,Starting XI,2026-02-14,FC St. Pauli,617349,Bundesliga,4,APIFootball
Bayer 04 Leverkusen,Robert Andrich,3,Starting XI,2026-02-14,FC St. Pauli,617349,Bundesliga,8,APIFootball
